message_time,sender_id,recipient_id,message,ip,image,mid,ad_id
"2026-03-14T11:40:53.713Z

",26130933309908891,1087524481100135,السلام عليكم,172.20.0.3,,,
"2026-03-14T11:43:02.705Z

",26698690626382528,1087524481100135,البنطلون الجينز بكسره جانبيه بكام,172.20.0.3,,,
"2026-03-14T11:48:50.654Z

",26123130800669372,1087524481100135,المكان فين,172.20.0.3,,,
"2026-03-14T11:52:06.619Z

",26461104130151182,1087524481100135,المقاسات,172.20.0.3,,,
"2026-03-14T11:54:57.672Z

",26224736687185812,1087524481100135,رساله صور بنطلون,172.20.0.3,,,
"2026-03-14T11:56:20.304Z

",26224736687185812,1087524481100135,تمام,172.20.0.3,,,
"2026-03-14T11:58:12.660Z

",26461104130151182,1087524481100135,42,172.20.0.3,,,
"2026-03-14T12:02:13.226Z

",26057970573887559,1087524481100135,,172.20.0.3,,,
"2026-03-14T12:02:15.910Z

",34228185450162829,1087524481100135,,172.20.0.3,,,
"2026-03-14T12:06:35.641Z

",26448590768094425,1087524481100135,ممكن السعر,172.20.0.3,,,
"2026-03-14T12:16:13.924Z

",1087524481100135,26130933309908891,و عليكم السلام,172.20.0.3,,,
"2026-03-14T12:16:26.659Z

",1087524481100135,26895250346743560,تم الرد,172.20.0.3,,,
"2026-03-14T12:32:49.360Z

",26224736687185812,1087524481100135,الووو,172.20.0.3,,,
"2026-03-14T13:08:59.512Z

",25842676358754224,1087524481100135,What's on sale?,172.20.0.3,,,
"2026-03-14T13:10:11.597Z

",25842676358754224,1087524481100135,What is the price?,172.20.0.3,,,
"2026-03-14T13:08:08.405Z

",26102951602680701,1087524481100135,المقاسات والالوان,172.20.0.3,,,
"2026-03-14T13:15:52.086Z

",25428447223495889,1087524481100135,بكام البنطلون,172.20.0.3,,,
"2026-03-14T13:45:16.602Z

",26123130800669372,1087524481100135,القماش ليكرااا,172.20.0.3,,,
"2026-03-14T13:48:32.235Z

",26419955831028993,1087524481100135,How long is the discount valid?,172.20.0.3,,,
"2026-03-14T13:49:09.606Z

",26160613100273084,1087524481100135,السعر والمقاسات,172.20.0.3,,,
"2026-03-14T13:55:33.010Z

",26963079049960942,1087524481100135,مهتم,172.20.0.3,,,
"2026-03-14T14:14:58.432Z

",26425478910379617,1087524481100135,بكام,172.20.0.3,,,
"2026-03-14T14:19:39.591Z

",26103153752707898,1087524481100135,.,172.20.0.3,,,
"2026-03-14T14:34:37.962Z

",25917353661220419,1087524481100135,,172.20.0.3,https://scontent.xx.fbcdn.net/v/t1.15752-9/647037182_1558832408532900_5578766139204288993_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=eb2e90&_nc_ohc=CHWnH3kHYdkQ7kNvwEvqxYT&_nc_oc=AdnmajzxXL9LmK2jPny4csBcFSKKtY7m8Cg-9fd8qE2Z39T-Te-e6s3e2OIrYbxBwuVuhMUvxTELmJJ_TmDb8Awn&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.xx&_nc_ss=8&oh=03_Q7cD4wGQeecr4nsbzoHHWrngxixkcFw0_HOHi7-_nB0ua-PQXg&oe=69DCCE13,,
"2026-03-14T14:36:33.925Z

",26644760378461406,1087524481100135,What is the price?,172.20.0.3,,,
"2026-03-14T14:36:34.007Z

",26644760378461406,1087524481100135,Is it available in other colors?,172.20.0.3,,,
"2026-03-14T14:36:34.420Z

",26644760378461406,1087524481100135,How long does shipping take?,172.20.0.3,,,
"2026-03-14T14:36:46.772Z

",26644760378461406,1087524481100135,السعر كام,172.20.0.3,,,
"2026-03-14T14:41:30.065Z

",25750501607971715,1087524481100135,Can I get a promo code?,172.20.0.3,,,
"2026-03-14T14:41:49.338Z

",25750501607971715,1087524481100135,بكام,172.20.0.3,,,
"2026-03-14T14:42:14.771Z

",1087524481100135,26130933309908891,Hello,172.20.0.3,,,
"2026-03-14T14:53:27.897Z

",26581949801397121,1087524481100135,السعر كم,172.20.0.3,,,
"2026-03-14T15:02:13.180Z

",1087524481100135,26224736687185812,حضرتك محتاج تعمل اوردر؟,172.20.0.3,,,
"2026-03-14T15:02:43.497Z

",1087524481100135,26393234113699522,مساء الخير يا فندم,172.20.0.3,,,
"2026-03-14T15:02:49.825Z

",1087524481100135,26393234113699522,"بمناسبة العيد عندنا خصومات تصل إلى 60٪ 
البنطلون سعره 1100
مقاسات من 30 ل 38",172.20.0.3,,,
"2026-03-14T15:03:52.283Z

",1087524481100135,24084867711210915,"بمناسبة العيد عندنا خصومات تصل إلى 60٪ 
البنطلون سعره 1100
مقاسات من 30 ل 38",172.20.0.3,,,
"2026-03-14T15:04:14.140Z

",1087524481100135,26286198694350645,مساء الخير يا فندم,172.20.0.3,,,
"2026-03-14T15:04:15.987Z

",1087524481100135,26286198694350645,"بمناسبة العيد عندنا خصومات تصل إلى 60٪ 
البنطلون سعره 1100
مقاسات من 30 ل 38",172.20.0.3,,,
"2026-03-14T15:04:30.482Z

",1087524481100135,26102951602680701,مقاسات من 30 ل 38,172.20.0.3,,,
"2026-03-14T15:04:48.485Z

",1087524481100135,26102951602680701,,172.20.0.3,https://scontent.xx.fbcdn.net/v/t1.15752-9/646760298_910385038497460_3251450339540230703_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=eb2e90&_nc_ohc=CCMo_qp9r1kQ7kNvwGgntWV&_nc_oc=AdnTPRQ88ln6CMQu2495Wz3-96EZidTDdoZiE7ThOuz2RgajD6hOiBgMwCpXbFNeQlNMdsFMxAR-ZZD0Ud7BEeRx&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.xx&_nc_ss=8&oh=03_Q7cD4wHSEUnSvEx8WevX24nDn4MQGVw_35i_wc1c0w5lpZX1wg&oe=69DCF62D,,
"2026-03-14T15:04:54.705Z

",1087524481100135,25842676358754224,مساء الخير يا فندم,172.20.0.3,,,
"2026-03-14T15:04:56.821Z

",1087524481100135,25842676358754224,"بمناسبة العيد عندنا خصومات تصل إلى 60٪ 
البنطلون سعره 1100
مقاسات من 30 ل 38",172.20.0.3,,,
"2026-03-14T15:05:05.415Z

",1087524481100135,25428447223495889,مساء الخير يا فندم,172.20.0.3,,,
"2026-03-14T15:05:08.129Z

",1087524481100135,25428447223495889,"بمناسبة العيد عندنا خصومات تصل إلى 60٪ 
البنطلون سعره 1100
مقاسات من 30 ل 38",172.20.0.3,,,
"2026-03-14T15:05:30.105Z

",1087524481100135,26123130800669372,جينز يا فندم,172.20.0.3,,,
"2026-03-14T15:05:39.600Z

",1087524481100135,26419955831028993,مساء الخير يا فندم,172.20.0.3,,,
"2026-03-14T15:05:41.846Z

",1087524481100135,26419955831028993,"بمناسبة العيد عندنا خصومات تصل إلى 60٪ 
البنطلون سعره 1100
مقاسات من 30 ل 38",172.20.0.3,,,
"2026-03-14T15:05:52.972Z

",1087524481100135,26160613100273084,مساء الخير يا فندم,172.20.0.3,,,
"2026-03-14T15:05:54.926Z

",1087524481100135,26160613100273084,"بمناسبة العيد عندنا خصومات تصل إلى 60٪ 
البنطلون سعره 1100
مقاسات من 30 ل 38",172.20.0.3,,,
"2026-03-14T15:06:01.061Z

",26461223403495844,1087524481100135,What's on sale?,172.20.0.3,,,
"2026-03-14T15:06:05.341Z

",1087524481100135,26963079049960942,مساء الخير يا فندم,172.20.0.3,,,
"2026-03-14T15:06:01.330Z

",26461223403495844,1087524481100135,How long is the discount valid?,172.20.0.3,,,
"2026-03-14T15:06:01.428Z

",26461223403495844,1087524481100135,Can I get a promo code?,172.20.0.3,,,
"2026-03-14T15:06:29.297Z

",26461223403495844,1087524481100135,What's on sale?,172.20.0.3,,,
"2026-03-14T15:06:42.526Z

",26461223403495844,1087524481100135,في ألوان تانية,172.20.0.3,,,
"2026-03-14T15:07:16.820Z

",1087524481100135,26425478910379617,مساء الخير يا فندم,172.20.0.3,,,
"2026-03-14T15:07:19.185Z

",1087524481100135,26425478910379617,البنطلون true religion سعره 1100,172.20.0.3,,,
"2026-03-14T15:08:04.680Z

",1087524481100135,26103153752707898,هتاكد لحضرتك حالاً,172.20.0.3,,,
"2026-03-14T15:08:22.108Z

",1087524481100135,25917353661220419,مساء الخير يا فندم,172.20.0.3,,,
"2026-03-14T15:08:24.156Z

",1087524481100135,25917353661220419,"بمناسبة العيد عندنا خصومات تصل إلى 60٪ 
البنطلون سعره 1100
مقاسات من 30 ل 38",172.20.0.3,,,
"2026-03-14T15:08:38.886Z

",1087524481100135,26644760378461406,مساء الخير يا فندم,172.20.0.3,,,
"2026-03-14T15:08:46.501Z

",1087524481100135,26644760378461406,استفسار حضرتك عن اني موديل؟,172.20.0.3,,,
